   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 740,          1842,             364,             11,    378453,         776,        445,     548339,          364,        1132,    35397,       6914,       114
 741,          1844,             364,             10,    379940,         777,        455,     549821,          364,        1313,    35436,       6920,        85
 742,          1846,             364,             10,    381429,         778,        326,     551305,          364,         885,    35484,       6929,        82
 743,          1848,             364,              7,    382920,         779,        255,     552791,          364,         962,    35529,       6938,        84
 744,          1850,             364,              6,    384413,         780,        231,     554279,          364,         849,    35584,       6948,        68
 745,          1854,             366,              6,    382938,         781,        220,     555769,          366,         715,    35651,       6962,        74
 746,          1859,             369,              6,    382951,         783,        221,     557261,          369,         739,    35724,       6977,       130
 747,          1863,             371,              8,    385937,         785,        322,     558755,          371,        1242,    35773,       6987,        67
 748,          1865,             371,              7,    387438,         786,        212,     560251,          371,         711,    35814,       6994,        66
 749,          1867,             371,              6,    388941,         787,        223,     561749,          371,         711,    35845,       6998,        63
 750,          1869,             371,              5,    390446,         788,        195,     563249,          371,         680,    35925,       7015,        65
 751,          1872,             372,              6,    390452,         789,        209,     564751,          372,         679,    35988,       7029,        67
 752,          1874,             372,              6,    391961,         790,        208,     566255,          372,         717,    36056,       7045,        72
 753,          1876,             372,              6,    393472,         791,        230,     567761,          372,         790,    36112,       7054,        70
 754,          1879,             373,              6,    393478,         792,        274,     569269,          373,         661,    36180,       7068,        80
 755,          1882,             374,              8,    394997,         794,        279,     570779,          374,         706,    36231,       7078,        77
 756,          1886,             376,              7,    395008,         795,        218,     572291,          376,         710,    36265,       7084,        77
 757,          1888,             376,              7,    396527,         796,        209,     573805,          376,         731,    36322,       7095,        73
 758,          1890,             376,              7,    398048,         797,        214,     575321,          376,         727,    36379,       7106,        75
 759,          1892,             376,              7,    399571,         798,        201,     576839,          376,         665,    36437,       7119,        75
 760,          1895,             377,              6,    399577,         799,        207,     578359,          377,         664,    36475,       7125,        74
 761,          1897,             377,              6,    401104,         800,        213,     579881,          377,         657,    36562,       7142,        72
 762,          1902,             380,              7,    399596,         801,        201,     581405,          380,         631,    36615,       7152,        73
 763,          1905,             381,              7,    401129,         803,        226,     582931,          381,         690,    36624,       7153,        76
 764,          1907,             381,              7,    402662,         804,        221,     584459,          381,         651,    36735,       7176,        77
 765,          1909,             381,              6,    404197,         805,        205,     585989,          381,         670,    36774,       7182,        73
 766,          1911,             381,              7,    405734,         806,        214,     587521,          381,         685,    36789,       7184,        75
 767,          1913,             381,              6,    407273,         807,        217,     589055,          381,         686,    36894,       7208,        71
 768,          1917,             383,              7,    405752,         808,        216,     590591,          383,         791,    36944,       7215,        73
 769,          1920,             384,              7,    407293,         810,        222,     592129,          384,        1103,    37007,       7230,       107
 770,          1922,             384,              9,    408838,         811,        314,     593669,          384,        1001,    37037,       7234,        85
 771,          1924,             384,              8,    410385,         812,        248,     595211,          384,         816,    37114,       7250,        78
 772,          1926,             384,              7,    411934,         813,        260,     596755,          384,         858,    37160,       7258,        81
 773,          1929,             385,              7,    411940,         814,        251,     598301,          385,         885,    37212,       7268,        82
 774,          1933,             387,              7,    411951,         815,        254,     599849,          387,         892,    37266,       7278,        81
 775,          1935,             387,              7,    413506,         816,        252,     601399,          387,         846,    37308,       7287,        78
 776,          1937,             387,              7,    415063,         817,        246,     602951,          387,         822,    37365,       7299,        66
 777,          1939,             387,              7,    416622,         818,        216,     604505,          387,        1128,    37435,       7313,        64
 778,          1941,             387,              5,    418183,         819,        198,     606061,          387,         412,    37480,       7321,        46
 779,          1943,             387,              4,    419746,         820,        125,     607619,          387,         405,    37536,       7333,        45
 780,          1945,             387,              4,    421311,         821,        125,     609179,          387,         403,    37606,       7348,        44
 781,          1947,             387,              3,    422878,         822,        126,     610741,          387,         405,    37614,       7343,        44
 782,          1949,             387,              3,    424447,         823,        126,     612305,          387,         408,    37699,       7364,        54
 783,          1951,             387,              3,    426018,         824,        127,     613871,          387,         407,    37740,       7371,        43
 784,          1953,             387,              3,    427591,         825,        127,     615439,          387,         459,    37807,       7385,        44
 785,          1955,             387,              4,    429166,         826,        129,     617009,          387,         841,    37859,       7395,        67
 786,          1957,             387,              5,    430743,         827,        240,     618581,          387,         876,    37921,       7408,        71
 787,          1959,             387,              5,    432322,         828,        242,     620155,          387,         856,    37995,       7423,        62
 788,          1961,             387,              5,    433903,         829,        205,     621731,          387,         850,    38050,       7434,        70
 789,          1964,             388,              8,    433909,         830,        240,     623309,          388,         856,    38108,       7446,        63
 790,          1966,             388,              9,    435494,         831,        234,     624889,          388,         926,    38157,       7455,        70
 791,          1969,             389,              5,    435500,         832,        248,     626471,          389,         660,    38179,       7455,        48
 792,          1971,             389,              5,    437089,         833,        146,     628055,          389,         415,    38225,       7465,        44
 793,          1973,             389,              3,    438680,         834,        129,     629641,          389,         418,    38262,       7470,        46
 794,          1975,             389,              3,    440273,         835,        134,     631229,          389,         418,    38359,       7493,        43
 795,          1977,             389,              3,    441868,         836,        154,     632819,          389,         419,    38381,       7494,        44
 796,          1979,             389,              4,    443465,         837,        134,     634411,          389,         470,    38460,       7512,        46
 797,          1981,             389,              3,    445064,         838,        136,     636005,          389,         663,    38512,       7522,        59
 798,          1983,             389,              4,    446665,         839,        142,     637601,          389,         426,    38570,       7532,        44
 799,          1985,             389,              3,    448268,         840,        147,     639199,          389,         505,    38625,       7543,        44
 800,          1988,             390,              4,    448274,         841,        136,     640799,          390,         453,    38689,       7557,        45
 801,          1990,             390,              3,    449881,         842,        135,     642401,          390,         425,    38749,       7570,        52
 802,          1992,             390,              6,    451490,         843,        172,     644005,          390,         534,    38801,       7580,        63
 803,          1994,             390,              7,    453101,         844,        230,     645611,          390,         670,    38871,       7595,        55
 804,          1996,             390,              5,    454714,         845,        226,     647219,          390,         754,    38912,       7601,        64
 805,          1998,             390,              5,    456329,         846,        216,     648829,          390,         690,    38969,       7611,        86
 806,          2000,             390,              6,    457946,         847,        239,     650441,          390,         531,    39014,       7621,        53
 807,          2002,             390,              5,    459565,         848,        174,     652055,          390,         564,    39086,       7635,        76
 808,          2004,             390,              8,    461186,         849,        167,     653671,          390,         514,    39135,       7643,        55
 809,          2006,             390,              5,    462809,         850,        222,     655289,          390,         510,    39199,       7659,        50
 810,          2008,             390,              5,    464434,         851,        144,     656909,          390,         434,    39255,       7670,        54
 811,          2011,             391,              6,    464440,         852,        147,     658531,          391,         736,    39308,       7681,        80
 812,          2014,             392,              7,    466073,         854,        291,     660155,          392,        1071,    39339,       7683,        73
 813,          2016,             392,              7,    467704,         855,        218,     661781,          392,         591,    39415,       7700,        66
 814,          2018,             392,             22,    469337,         856,        291,     663409,          392,         979,    39465,       7709,        89
 815,          2021,             393,              8,    469343,         857,        276,     665039,          393,         963,    39501,       7714,        87
 816,          2024,             394,              7,    470984,         859,        295,     666671,          394,        1302,    39539,       7722,        88
 817,          2027,             395,              9,    470992,         860,        282,     668305,          395,         954,    39627,       7742,        83
 818,          2033,             399,              8,    469382,         860,        241,     669941,          399,         661,    39693,       7755,        74
 819,          2035,             399,              7,    471025,         861,        242,     671579,          399,         669,    39744,       7764,        75
 820,          2037,             399,              7,    472670,         862,        240,     673219,          399,         728,    39778,       7769,        68
 821,          2039,             399,              6,    474317,         863,        229,     674861,          399,         723,    39847,       7783,        74
 822,          2041,             399,              7,    475966,         864,        230,     676505,          399,         791,    39899,       7793,        69
 823,          2043,             399,              6,    477617,         865,        230,     678151,          399,         726,    39936,       7799,        63
 824,          2045,             399,              6,    479270,         866,        236,     679799,          399,         747,    39987,       7807,        70
 825,          2047,             399,              6,    480925,         867,        233,     681449,          399,         736,    40039,       7817,        67
 826,          2049,             399,              7,    482582,         868,        228,     683101,          399,         756,    40112,       7834,        73
 827,          2052,             400,              5,    482588,         869,        248,     684755,          400,         729,    40168,       7845,        74
 828,          2056,             402,              7,    482599,         870,        200,     686411,          402,         534,    40241,       7861,        58
 829,          2059,             403,              5,    485914,         872,        174,     688069,          403,         608,    40278,       7866,        69
 830,          2061,             403,              7,    487579,         873,        236,     689729,          403,         759,    40325,       7875,        69
 831,          2063,             403,              6,    489246,         874,        238,     691391,          403,         777,    40375,       7885,        73
 832,          2065,             403,              6,    490915,         875,        255,     693055,          403,         755,    40433,       7899,        68
 833,          2067,             403,              6,    492586,         876,        237,     694721,          403,         766,    40473,       7904,        76
 834,          2069,             403,              5,    494259,         877,        253,     696389,          403,         762,    40541,       7916,        77
 835,          2071,             403,              6,    495934,         878,        242,     698059,          403,         738,    40593,       7928,        64
 836,          2076,             406,              5,    492618,         879,        249,     699731,          406,         760,    40646,       7938,        70
 837,          2078,             406,              7,    494297,         880,        240,     701405,          406,         755,    40725,       7955,        67
 838,          2080,             406,              6,    495978,         881,        240,     703081,          406,         807,    40787,       7968,        74
 839,          2082,             406,              6,    497661,         882,        237,     704759,          406,         750,    40820,       7973,        66
 840,          2084,             406,              6,    499346,         883,        231,     706439,          406,         770,    40868,       7982,        71
 841,          2086,             406,              6,    501033,         884,        239,     708121,          406,         753,    40901,       7986,        68
 842,          2088,             406,              5,    502722,         885,        229,     709805,          406,         764,    40973,       8000,        69
 843,          2090,             406,              6,    504413,         886,        308,     711491,          406,         808,    41014,       8009,        90
 844,          2092,             406,              9,    506106,         887,        265,     713179,          406,         808,    41099,       8028,        86
 845,          2094,             406,              7,    507801,         888,        367,     714869,          406,         741,    41144,       8036,        68
 846,          2096,             406,              7,    509498,         889,        221,     716561,          406,         683,    41191,       8043,        67
 847,          2098,             406,              6,    511197,         890,        220,     718255,          406,         676,    41248,       8055,        66
 848,          2100,             406,              5,    512898,         891,        222,     719951,          406,         567,    41285,       8059,        53
 849,          2102,             406,              4,    514601,         892,        179,     721649,          406,         552,    41353,       8073,        53
 850,          2105,             407,              4,    514607,         893,        179,     723349,          407,         552,    41388,       8080,        52
 851,          2107,             407,              4,    516314,         894,        180,     725051,          407,         554,    41476,       8099,        52
 852,          2109,             407,              4,    518023,         895,        178,     726755,          407,         556,    41529,       8110,        54
 853,          2112,             408,              4,    518029,         896,        183,     728461,          408,         578,    41588,       8122,        51
 854,          2114,             408,              4,    519742,         897,        182,     730169,          408,         560,    41647,       8132,        52
 855,          2116,             408,              4,    521457,         898,        180,     731879,          408,         565,    41701,       8144,        52
 856,          2118,             408,              4,    523174,         899,        182,     733591,          408,         581,    41743,       8151,        51
 857,          2121,             409,              4,    523180,         900,        182,     735305,          409,         608,    41803,       8166,        53
 858,          2124,             410,              4,    524905,         902,        244,     737021,          410,         601,    41869,       8179,        56
 859,          2127,             411,              4,    524913,         903,        187,     738739,          411,         723,    41914,       8186,        78
 860,          2130,             412,              7,    526640,         905,        196,     740459,          412,         580,    41963,       8195,        59
 861,          2132,             412,              5,    528367,         906,        184,     742181,          412,         570,    42018,       8208,        56
 862,          2134,             412,              4,    530096,         907,        186,     743905,          412,         574,    42107,       8226,        56
 863,          2136,             412,              4,    531827,         908,        186,     745631,          412,         573,    42173,       8241,        54
 864,          2138,             412,              5,    533560,         909,        186,     747359,          412,         575,    42185,       8239,        54
 865,          2141,             413,              4,    533566,         910,        187,     749089,          413,         575,    42233,       8248,        54
 866,          2144,             414,              4,    535307,         912,        187,     750821,          414,         600,    42318,       8268,        53
 867,          2149,             417,              4,    533590,         912,        190,     752555,          417,         579,    42356,       8275,        53
 868,          2151,             417,              4,    535331,         913,        187,     754291,          417,         582,    42418,       8285,        53
 869,          2153,             417,              4,    537074,         914,        185,     756029,          417,         572,    42459,       8294,        53
 870,          2155,             417,              3,    538819,         915,        185,     757769,          417,         587,    42559,       8317,        52
 871,          2157,             417,              4,    540566,         916,        185,     759511,          417,         570,    42594,       8322,        52
 872,          2160,             418,              4,    540572,         917,        186,     761255,          418,         577,    42614,       8322,        53
 873,          2162,             418,              3,    542323,         918,        186,     763001,          418,         599,    42639,       8326,        52
 874,          2164,             418,              4,    544076,         919,        184,     764749,          418,         578,    42725,       8345,        52
 875,          2166,             418,              3,    545831,         920,        185,     766499,          418,         570,    42797,       8360,        52
 876,          2168,             418,              4,    547588,         921,        185,     768251,          418,         577,    42857,       8372,        52
 877,          2171,             419,              3,    547594,         922,        184,     770005,          419,         573,    42905,       8381,        60
 878,          2174,             420,              4,    549359,         924,        404,     771761,          420,        1235,    42980,       8397,       112
 879,          2176,             420,             13,    551122,         925,        364,     773519,          420,         795,    43029,       8407,        73
 880,          2178,             420,              6,    552887,         926,        236,     775279,          420,         855,    43068,       8413,        74
 881,          2181,             421,              6,    552893,         927,        240,     777041,          421,         755,    43116,       8422,        72
 882,          2183,             421,              6,    554662,         928,        237,     778805,          421,         756,    43196,       8440,        72
 883,          2185,             421,              5,    556433,         929,        239,     780571,          421,         755,    43228,       8444,        72
 884,          2187,             421,              5,    558206,         930,        239,     782339,          421,         708,    43298,       8459,        59
 885,          2190,             422,              4,    558212,         931,        198,     784109,          422,         627,    43358,       8472,        60
 886,          2192,             422,              4,    559989,         932,        199,     785881,          422,         631,    43403,       8478,        59
 887,          2194,             422,              4,    561768,         933,        203,     787655,          422,         641,    43474,       8494,        49
 888,          2196,             422,              3,    563549,         934,        162,     789431,          422,         519,    43530,       8506,        49
 889,          2198,             422,              3,    565332,         935,        163,     791209,          422,         519,    43561,       8509,        48
 890,          2200,             422,              3,    567117,         936,        161,     792989,          422,         512,    43619,       8521,        49
 891,          2202,             422,              3,    568904,         937,        162,     794771,          422,         526,    43685,       8536,        48
 892,          2204,             422,              4,    570693,         938,        162,     796555,          422,         526,    43738,       8544,        48
 893,          2206,             422,              3,    572484,         939,        164,     798341,          422,         995,    43817,       8562,       104
 894,          2209,             423,             11,    572490,         940,        415,     800129,          423,        1272,    43838,       8564,       111
 895,          2212,             424,              9,    574289,         942,        371,     801919,          424,        1243,    43907,       8578,       104
 896,          2216,             426,              8,    574300,         943,        380,     803711,          426,        1362,    43966,       8589,       119
 897,          2218,             426,              7,    576099,         944,        341,     805505,          426,        1681,    43988,       8591,       113
 898,          2220,             426,             10,    577900,         945,        407,     807301,          426,        1319,    44036,       8599,       105
 899,          2223,             427,              9,    577906,         946,        365,     809099,          427,        1187,    44129,       8621,        71
 900,          2225,             427,              6,    579711,         947,        246,     810899,          427,         743,    44170,       8628,        69
 901,          2227,             427,              5,    581518,         948,        242,     812701,          427,         750,    44220,       8636,        68
 902,          2229,             427,              5,    583327,         949,        251,     814505,          427,         756,    44316,       8660,        70
 903,          2232,             428,              5,    583333,         950,        247,     816311,          428,         751,    44333,       8660,        68
 904,          2234,             428,              5,    585146,         951,        243,     818119,          428,         777,    44401,       8675,        67
 905,          2236,             428,              5,    586961,         952,        243,     819929,          428,         761,    44416,       8675,        67
 906,          2238,             428,              5,    588778,         953,        243,     821741,          428,         770,    44504,       8694,        66
 907,          2240,             428,              5,    590597,         954,        244,     823555,          428,         773,    44548,       8702,        66
 908,          2242,             428,              5,    592418,         955,        246,     825371,          428,         758,    44607,       8713,        66
 909,          2246,             430,              5,    590615,         956,        245,     827189,          430,         755,    44666,       8726,        66
 910,          2251,             433,              5,    590628,         958,        245,     829009,          433,         760,    44721,       8736,        65
 911,          2253,             433,              5,    592455,         959,        264,     830831,          433,         766,    44789,       8751,        66
 912,          2255,             433,              5,    594284,         960,        245,     832655,          433,         791,    44853,       8764,        66
 913,          2258,             434,              5,    594290,         961,        245,     834481,          434,         775,    44896,       8771,        67
 914,          2260,             434,              5,    596123,         962,        247,     836309,          434,         763,    44952,       8783,        67
 915,          2262,             434,              5,    597958,         963,        248,     838139,          434,         751,    45014,       8796,        64
 916,          2264,             434,              4,    599795,         964,        240,     839971,          434,         743,    45058,       8806,        65
 917,          2266,             434,             32,    601634,         965,        403,     841805,          434,        1202,    45112,       8815,       121
 918,          2268,             434,             11,    603475,         966,        390,     843641,          434,        1005,    45170,       8826,        90
 919,          2271,             435,              7,    603481,         967,        298,     845479,          435,         932,    45229,       8838,        86
 920,          2273,             435,              7,    605326,         968,        299,     847319,          435,         920,    45251,       8840,        80
 921,          2275,             435,              6,    607173,         969,        286,     849161,          435,         923,    45342,       8859,        80
 922,          2278,             436,              6,    607179,         970,        285,     851005,          436,         926,    45365,       8862,        79
 923,          2280,             436,              6,    609030,         971,        288,     852851,          436,         893,    45425,       8871,        80
 924,          2282,             436,              6,    610883,         972,        247,     854699,          436,         746,    45484,       8884,        66
 925,          2284,             436,              5,    612738,         973,        241,     856549,          436,         744,    45532,       8894,        65
 926,          2287,             437,              5,    612744,         974,        240,     858401,          437,         769,    45600,       8909,        53
 927,          2289,             437,              4,    614603,         975,        200,     860255,          437,         632,    45645,       8916,        53
 928,          2291,             437,              4,    616464,         976,        201,     862111,          437,         623,    45686,       8922,        54
 929,          2293,             437,              4,    618327,         977,        202,     863969,          437,         632,    45729,       8930,        49
 930,          2297,             439,              3,    616482,         978,        169,     865829,          439,         538,    45760,       8934,        48
 931,          2302,             442,              4,    616495,         980,        169,     867691,          442,         539,    45830,       8949,        49
 932,          2304,             442,              3,    618364,         981,        169,     869555,          442,         541,    45932,       8973,        49
 933,          2306,             442,              3,    620235,         982,        169,     871421,          442,         542,    45963,       8977,        49
 934,          2309,             443,              3,    620241,         983,        169,     873289,          443,         543,    46026,       8989,        49
 935,          2311,             443,              3,    622116,         984,        170,     875159,          443,         544,    46094,       9004,        49
 936,          2313,             443,              3,    623993,         985,        172,     877031,          443,         545,    46119,       9005,        49
 937,          2315,             443,              3,    625872,         986,        171,     878905,          443,         551,    46149,       9010,        49
 938,          2317,             443,              5,    627753,         987,        174,     880781,          443,         549,    46227,       9027,        49
 939,          2319,             443,              4,    629636,         988,        172,     882659,          443,         549,    46290,       9039,        49
 940,          2322,             444,              3,    629642,         989,        171,     884539,          444,         549,    46362,       9055,        49
 941,          2326,             446,              4,    629653,         990,        172,     886421,          446,         551,    46404,       9063,        49
 942,          2330,             448,              4,    631545,         992,        172,     888305,          448,         553,    46459,       9073,        49
 943,          2332,             448,              4,    633436,         993,        176,     890191,          448,         557,    46501,       9080,        49
 944,          2334,             448,              4,    635329,         994,        174,     892079,          448,         558,    46560,       9093,        49
 945,          2337,             449,              4,    635335,         995,        174,     893969,          449,         560,    46607,       9102,        50
 946,          2339,             449,              3,    637232,         996,        175,     895861,          449,         560,    46692,       9121,        50
 947,          2341,             449,              4,    639131,         997,        176,     897755,          449,         560,    46740,       9130,        50
 948,          2344,             450,              4,    639137,         998,        175,     899651,          450,         568,    46757,       9130,        50
 949,          2347,             451,              4,    641044,        1000,        177,     901549,          451,         723,    46834,       9146,        71
 950,          2349,             451,              6,    642949,        1001,        286,     903449,          451,         927,    46906,       9161,        76
 951,          2351,             451,              6,    644856,        1002,        298,     905351,          451,         951,    46961,       9173,        73
 952,          2353,             451,              6,    646765,        1003,        297,     907255,          451,        1222,    47011,       9182,       100
 953,          2355,             451,              8,    648676,        1004,        371,     909161,          451,        1210,    47052,       9190,       118
 954,          2357,             451,             10,    650589,        1005,        389,     911069,          451,        1258,    47104,       9199,       108
 955,          2359,             451,              9,    652504,        1006,        445,     912979,          451,        1296,    47165,       9212,        92
 956,          2362,             452,              8,    652510,        1007,        357,     914891,          452,         973,    47244,       9229,        75
 957,          2364,             452,              6,    654429,        1008,        274,     916805,          452,         899,    47276,       9233,        68
 958,          2367,             453,              6,    654435,        1009,        306,     918721,          453,         916,    47342,       9247,        72
 959,          2369,             453,              6,    656358,        1010,        274,     920639,          453,         895,    47380,       9253,       158
 960,          2371,             453,             13,    658283,        1011,        419,     922559,          453,        1285,    47405,       9255,       122
 961,          2373,             453,             11,    660210,        1012,        416,     924481,          453,        1020,    47493,       9276,        86
 962,          2375,             453,              7,    662139,        1013,        314,     926405,          453,         967,    47548,       9285,        85
 963,          2377,             453,              7,    664070,        1014,        311,     928331,          453,         957,    47579,       9289,        83
 964,          2379,             453,              6,    666003,        1015,        307,     930259,          453,         948,    47636,       9302,        79
 965,          2381,             453,              6,    667938,        1016,        303,     932189,          453,         935,    47701,       9315,        68
 966,          2383,             453,              5,    669875,        1017,        261,     934121,          453,         797,    47743,       9322,        56
 967,          2385,             453,              4,    671814,        1018,        215,     936055,          453,         666,    47818,       9339,        55
 968,          2388,             454,              4,    671820,        1019,        214,     937991,          454,         683,    47884,       9352,        56
 969,          2391,             455,              4,    673767,        1021,        217,     939929,          455,         676,    47887,       9350,        56
 970,          2394,             456,              4,    673778,        1022,        217,     941869,          456,         687,    47969,       9367,        56
 971,          2396,             456,              4,    675725,        1023,        218,     943811,          456,         668,    48030,       9379,        56
 972,          2398,             456,              4,    677674,        1024,        213,     945755,          456,         648,    48104,       9395,        51
 973,          2401,             457,              4,    677680,        1025,        186,     947701,          457,         586,    48147,       9401,        51
 974,          2403,             457,              4,    679633,        1026,        184,     949649,          457,         602,    48215,       9417,        53
 975,          2406,             458,              4,    679639,        1027,        182,     951599,          458,         582,    48227,       9417,        51
 976,          2408,             458,              4,    681596,        1028,        183,     953551,          458,         590,    48311,       9435,        51
 977,          2410,             458,              4,    683555,        1029,        184,     955505,          458,         589,    48336,       9439,        51
 978,          2412,             458,              4,    685516,        1030,        198,     957461,          458,         739,    48420,       9456,        62
 979,          2415,             459,              4,    685522,        1031,        224,     959419,          459,         724,    48484,       9470,        62
 980,          2417,             459,              5,    687487,        1032,        227,     961379,          459,         726,    48532,       9477,        62
 981,          2422,             462,              5,    685541,        1033,        226,     963341,          462,         727,    48581,       9486,        62
 982,          2424,             462,              5,    687510,        1034,        256,     965305,          462,         728,    48614,       9493,        63
 983,          2426,             462,              5,    689481,        1035,        228,     967271,          462,         730,    48693,       9510,        62
 984,          2428,             462,              5,    691454,        1036,        229,     969239,          462,         731,    48759,       9524,        63
 985,          2431,             463,              5,    691460,        1037,        229,     971209,          463,         732,    48796,       9529,        64
 986,          2433,             463,              5,    693437,        1038,        229,     973181,          463,         735,    48874,       9547,        63
 987,          2435,             463,              5,    695416,        1039,        229,     975155,          463,         735,    48915,       9553,        64
 988,          2437,             463,              5,    697397,        1040,        266,     977131,          463,         766,    48960,       9561,        64
 989,          2439,             463,              5,    699380,        1041,        235,     979109,          463,         752,    49004,       9570,        64
 990,          2441,             463,              5,    701365,        1042,        234,     981089,          463,         754,    49066,       9581,        62
 991,          2443,             463,              4,    703352,        1043,        226,     983071,          463,         732,    49138,       9598,        62
 992,          2445,             463,              5,    705341,        1044,        252,     985055,          463,         827,    49196,       9609,        65
 993,          2448,             464,              5,    705347,        1045,        239,     987041,          464,         681,    49260,       9624,        54
 994,          2450,             464,              4,    707340,        1046,        198,     989029,          464,         631,    49315,       9633,        54
 995,          2452,             464,              4,    709335,        1047,        198,     991019,          464,         656,    49344,       9637,        54
 996,          2454,             464,              4,    711332,        1048,        200,     993011,          464,         640,    49428,       9655,        54
 997,          2456,             464,              4,    713331,        1049,        200,     995005,          464,         679,    49473,       9664,        55
 998,          2458,             464,              4,    715332,        1050,        204,     997001,          464,         643,    49517,       9672,        54
 999,          2462,             466,              4,    713349,        1051,        200,     998999,          466,         647,    49524,       9670,        55
1000,          2465,             467,              4,    715352,        1053,        202,    1000999,          467,         651,    49610,       9687,        56
